id,role,question,ideal_answer,candidate_answer,score,feedback
26,Cloud Engineer,How would you design a fault-tolerant system on AWS?,Use multiple availability zones; implement auto-scaling; use load balancers (ELB); and ensure regular backups and RDS multi-AZ deployments.,,0,Skill: Cloud Infrastructure
27,Cloud Engineer,Explain the concept of Infrastructure as Code (IaC).,IaC involves managing and provisioning infrastructure through machine-readable definition files (e.g.; Terraform; CloudFormation) rather than manual processes.,,0,Skill: Cloud Infrastructure
28,Cloud Engineer,What are the benefits of serverless computing (e.g.; AWS Lambda)?,Serverless computing reduces operational overhead; scales automatically based on demand; and follows a pay-per-use pricing model.,,0,Skill: Cloud Infrastructure
29,Cloud Engineer,How do you optimize cloud costs for an enterprise application?,Implement rightsizing for instances; utilize reserved or spot instances; use lifecycle policies for storage; and enable automated scheduling.,,0,Skill: Cloud Infrastructure
30,Cloud Engineer,What is a VPC (Virtual Private Cloud) and why is it important?,A VPC is an isolated section of a cloud provider's network that allows you to launch resources and define your own IP ranges; subnets; and security rules.,,0,Skill: Cloud Infrastructure
31,Data Scientist,How do you evaluate model performance and avoid overfitting?,Use metrics like Accuracy; Precision; Recall; and F1-score; and prevent overfitting through cross-validation; regularization; and early stopping.,,0,Skill: Statistical Modeling
32,Data Scientist,Explain feature selection and its importance in predictive modeling.,Feature selection involves choosing the most relevant variables for a model to improve accuracy; reduce complexity; and prevent overfitting.,,0,Skill: Statistical Modeling
33,Data Scientist,What is the difference between Bagging and Boosting?,Bagging builds models in parallel to reduce variance; while Boosting builds models sequentially to reduce bias by focusing on previous errors.,,0,Skill: Statistical Modeling
34,Data Scientist,Describe the steps involved in a standard data science pipeline.,The pipeline includes data collection; cleaning; exploratory analysis; feature engineering; model training; evaluation; and deployment.,,0,Skill: Statistical Modeling
35,Data Scientist,What is PCA (Principal Component Analysis)?.,PCA is a dimensionality reduction technique used to transform a large set of variables into a smaller set of uncorrelated components while preserving variance.,,0,Skill: Statistical Modeling
36,DevOps Engineer,Explain the role of CI/CD in modern software development.,CI/CD (Continuous Integration/Deployment) automates the build; test; and deployment process to ensure fast and reliable delivery of software updates.,,0,Skill: CI/CD & DevOps
37,DevOps Engineer,How do you monitor application performance in production?,Use tools like Prometheus; Grafana; or New Relic to track logs; metrics; and traces; and set up alerts for downtime or performance degradation.,,0,Skill: CI/CD & DevOps
38,DevOps Engineer,What is the difference between Docker and Kubernetes?,Docker is a platform for containerizing applications; while Kubernetes is an orchestration tool for managing and scaling clusters of containers.,,0,Skill: CI/CD & DevOps
39,DevOps Engineer,Explain the concept of 'Infrastructure as Code' (IaC).,IaC involves managing and provisioning infrastructure using code or configuration files; allowing for automation; version control; and rapid recovery.,,0,Skill: CI/CD & DevOps
40,DevOps Engineer,How would you handle a production incident efficiently?,Follow a structured process: detect via monitoring; escalate to the team; mitigate the issue; communicate with stakeholders; and perform a post-mortem.,,0,Skill: CI/CD & DevOps
41,HR Manager,How do you handle conflict resolution between employees?,Approach conflicts by listening to all parties; remaining neutral; identifying core issues; and facilitating a collaborative and professional resolution.,,0,Skill: People Management
42,HR Manager,What strategies do you use for talent acquisition and recruitment?,Utilize multi-channel sourcing; implement structured interviews; analyze recruitment metrics; and build a strong employer brand to attract top talent.,,0,Skill: People Management
43,HR Manager,How do you promote diversity and inclusion in the workplace?,Implement unbiased hiring practices; provide D&I training; create employee resource groups; and ensure equitable growth opportunities for all.,,0,Skill: People Management
44,HR Manager,Describe your process for employee performance appraisals.,Set clear KPIs; provide regular feedback; conduct formal reviews; and discuss professional development goals aligned with organizational objectives.,,0,Skill: People Management
45,HR Manager,What are the key elements of a positive company culture?,Transparency; employee recognition; work-life balance; professional development opportunities; and shared values that foster collaboration and trust.,,0,Skill: People Management
46,Cybersecurity Specialist,How do you prevent phishing attacks in an organization?,Implement multi-factor authentication (MFA); provide security awareness training; use email filters; and employ DMARC/SPF protocols.,,0,Skill: Network Security
47,Cybersecurity Specialist,Explain the steps of a typical penetration test.,Planning and reconnaissance; scanning for vulnerabilities; gaining access; maintaining access; and analysis/reporting of findings.,,0,Skill: Network Security
48,Cybersecurity Specialist,How do you secure a cloud-based environment?,Implement IAM least-privilege access; use VPC security groups and NACLs; ensure data at rest/transit is encrypted; and enable continuous monitoring.,,0,Skill: Network Security
49,Cybersecurity Specialist,What is the difference between encryption and hashing?,Encryption is reversible and used to protect data confidentiality; whereas hashing is one-way and used to verify data integrity and secure passwords.,,0,Skill: Network Security
50,Cybersecurity Specialist,How do you respond to a major data breach incident?,Immediately isolate affected systems; identify the scope of the breach; notify relevant authorities/stakeholders; and implement remediation steps.,,0,Skill: Network Security
51,Backend Engineer,How does an API Gateway improve backend architecture?,An API gateway centralises routing; authentication; rate limiting; and load balancing across multiple microservices; reducing cross-cutting concerns in individual services.,,0,Skill: API Gateway
52,Backend Engineer,Explain the CQRS (Command Query Responsibility Segregation) pattern.,CQRS separates read and write operations into distinct models; allowing each side to be scaled; optimised; and secured independently.,,0,Skill: CQRS
53,Backend Engineer,Why is connection pooling important for database-heavy applications?,Connection pooling reduces latency and resource usage by reusing existing DB connections instead of opening a new connection per request; vital for high-concurrency services.,,0,Skill: Connection Pooling
54,Backend Engineer,When would you use a message queue like RabbitMQ or Kafka?,Use message queues for async communication; decoupling producers and consumers; handling traffic spikes; and ensuring reliable delivery of events between services.,,0,Skill: Message Queues
55,Backend Engineer,Describe strategies to implement rate limiting in a REST API.,Use token bucket or sliding window algorithms; back-pressure via queue depth; storage in Redis; and return 429 responses with appropriate Retry-After headers.,,0,Skill: Rate Limiting
56,Frontend Developer,Explain how the React Virtual DOM works and why it is efficient.,React keeps a lightweight in-memory copy of the DOM; diffs it against the new render; and only applies the minimum set of real DOM mutations; reducing expensive repaints.,,0,Skill: Virtual DOM
57,Frontend Developer,What WCAG principles do you apply when building accessible UIs?,Follow POUR principles—Perceivable; Operable; Understandable; Robust—using semantic HTML; ARIA roles; keyboard navigation; and sufficient color contrast ratios.,,0,Skill: Web Accessibility
58,Frontend Developer,How does code splitting improve web application performance?,Code splitting breaks the JavaScript bundle into smaller chunks loaded on demand (React.lazy/Suspense or dynamic import); reducing initial load time and Time-to-Interactive.,,0,Skill: Code Splitting
59,Frontend Developer,What are the trade-offs between SSR and CSR in modern web development?,SSR improves initial page load and SEO at the cost of server resources; while CSR shifts rendering to the client offering rich interactivity but with slower first meaningful paint.,,0,Skill: Server-Side Rendering
60,Frontend Developer,How does TypeScript improve large-scale frontend development?,TypeScript adds static typing; enabling early error detection; better IDE support; refactoring safety; and self-documenting interfaces across a large codebase.,,0,Skill: TypeScript
61,Mobile Developer,How do you minimise app launch time in a mobile application?,Reduce the number of initialised libraries at startup; defer non-critical work; use lazy initialisation; compress assets; and profile with startup tracing tools.,,0,Skill: App Launch Time
62,Mobile Developer,Explain deep linking and its importance in mobile apps.,Deep links allow external URLs or push notifications to navigate users directly to specific content inside the app; improving UX and supporting marketing campaigns.,,0,Skill: Deep Linking
63,Mobile Developer,How do you handle long-running background tasks in iOS and Android?,On iOS use BGTaskScheduler; on Android use WorkManager. Both allow scheduled; battery-efficient background execution respecting OS constraints.,,0,Skill: Background Tasks
64,Mobile Developer,Describe the process of signing and distributing a mobile app.,Generate signing certificates/keystores; configure build variants; sign the release APK/IPA; and distribute via Google Play or App Store after passing review guidelines.,,0,Skill: App Signing & Distribution
65,Mobile Developer,What tools and strategies do you use to track and fix production crashes?,Integrate tools like Firebase Crashlytics; Sentry; or Bugsnag; set up symbolication for readable stack traces; prioritise by crash-free rate; and reproduce locally via logs.,,0,Skill: Crash Analytics
66,BI Analyst,What is the difference between OLAP and OLTP systems?,OLTP handles real-time transactional workloads optimised for write speed; while OLAP is optimised for complex analytical queries over large historical datasets.,,0,Skill: OLAP vs OLTP
67,BI Analyst,Explain the star schema and its role in data warehousing.,A star schema organises data into a central fact table linked to dimension tables; simplifying queries; improving read performance; and making BI tools easier to use.,,0,Skill: Star Schema
68,BI Analyst,Why is data governance critical in a BI environment?,Data governance enforces data quality; security; lineage; and compliance; ensuring that BI outputs are accurate; trustworthy; and meeting regulatory requirements like GDPR.,,0,Skill: Data Governance
69,BI Analyst,Describe the SCD Type 2 approach for handling historical data changes.,SCD Type 2 inserts a new row for each change; keeping a full history via effective-date ranges and a current-flag column; enabling point-in-time analysis.,,0,Skill: Slowly Changing Dimensions
70,BI Analyst,How do you enable self-service BI for non-technical business users?,Provide well-documented semantic data models; curated datasets; intuitive visualisation tools (Power BI; Tableau); and training on how to build reports safely.,,0,Skill: Self-Service BI
71,ML Engineer,What is model drift and how do you detect and handle it?,Model drift occurs when the statistical properties of input data change over time; causing performance degradation. Monitor with data-quality dashboards and trigger retraining pipelines automatically.,,0,Skill: Model Drift
72,ML Engineer,Describe your process for feature engineering in a classification task.,Understand domain context; analyse distributions; handle nulls; encode categoricals; scale numerics; engineer interactions; and validate with feature importance metrics.,,0,Skill: Feature Engineering
73,ML Engineer,What does an MLOps pipeline look like in a production environment?,MLOps covers data versioning; experiment tracking (MLflow); automated retraining; model registry; A/B testing; monitoring; and CI/CD pipelines for model artefacts.,,0,Skill: MLOps
74,ML Engineer,Explain the attention mechanism and its role in Transformer models.,Attention computes weighted relevance scores between all token pairs; allowing the model to focus on contextually relevant parts of the input regardless of distance.,,0,Skill: Attention Mechanism
75,ML Engineer,Compare SGD; Adam; and RMSProp optimisers for deep learning.,SGD is simple but noisy; RMSProp adapts learning rates per parameter; Adam combines momentum with adaptive rates and is generally the most robust default choice.,,0,Skill: Gradient Descent Variants
76,Cloud Engineer,What is a service mesh and when would you use one?,A service mesh (e.g.; Istio; Linkerd) provides observability; traffic management; mTLS; and circuit-breaking between microservices without modifying application code.,,0,Skill: Service Mesh
77,Cloud Engineer,Explain RTO and RPO and how they influence DR strategy.,RTO (Recovery Time Objective) is the maximum tolerable downtime; RPO is the maximum acceptable data loss window. Lower values require more expensive active-active or warm-standby architectures.,,0,Skill: Disaster Recovery
78,Cloud Engineer,How do you secure containers in a Kubernetes cluster?,Use minimal base images; scan for CVEs (Trivy); enforce Pod Security Admission; implement network policies; use secrets management (Vault); and run containers as non-root.,,0,Skill: Container Security
79,Cloud Engineer,Describe the role of subnets; route tables; and security groups in AWS VPC.,Subnets segment the VPC into public/private zones; route tables define traffic paths; and security groups act as stateful firewalls controlling inbound/outbound access per resource.,,0,Skill: Cloud Networking
80,Cloud Engineer,How do you architect a globally distributed application on the cloud?,Use Route 53 latency-based routing; replicate data across regions with CRR; place stateless compute behind global load balancers; and leverage CDNs for static content delivery.,,0,Skill: Multi-Region Architecture
81,Data Scientist,Walk me through designing and analysing an A/B test.,Define the hypothesis; randomise user assignment; determine sample size via power analysis; run for a full business cycle; and use t-tests or chi-squared tests with a defined significance threshold.,,0,Skill: A/B Testing
82,Data Scientist,What techniques do you use for time-series forecasting?,Use ARIMA for stationary series; Prophet for seasonality; or LSTM/Transformer models for complex non-linear patterns; always accounting for trend decomposition and seasonality.,,0,Skill: Time Series
83,Data Scientist,How do you handle severe class imbalance in a classification model?,Combine resampling (SMOTE; undersampling); class-weighted loss functions; threshold tuning; and evaluate with metrics like PR-AUC rather than accuracy.,,0,Skill: Class Imbalance
84,Data Scientist,What tools do you use to explain machine learning model decisions?,Use SHAP values for global and local feature attribution; LIME for instance-level explanations; partial dependence plots; and counterfactual analysis for model transparency.,,0,Skill: Explainable AI
85,Data Scientist,Describe your standard data preprocessing pipeline.,Handle missing data via imputation; remove outliers with IQR or Z-score; encode categoricals; normalise numerics; and use train/validation splits to prevent data leakage.,,0,Skill: Data Preprocessing
86,DevOps Engineer,Explain the GitOps deployment model and its benefits.,GitOps uses Git as the single source of truth for declarative infrastructure; with automated reconciliation tools (ArgoCD; Flux) that apply desired state to the cluster on every commit.,,0,Skill: GitOps
87,DevOps Engineer,What is a blue-green deployment and how does it reduce risk?,Blue-green keeps two identical production environments; routing traffic to the new (green) release after validation; allowing instant rollback by switching traffic back to blue.,,0,Skill: Blue-Green Deployment
88,DevOps Engineer,Describe the three pillars of observability in modern systems.,Logs capture discrete events; metrics quantify aggregated system behaviour over time; and distributed traces show end-to-end request flows across services—together giving full system visibility.,,0,Skill: Observability
89,DevOps Engineer,How do you manage secrets and credentials in a DevOps pipeline?,Store secrets in a vault (HashiCorp Vault; AWS Secrets Manager); inject them at runtime via environment variables or sidecar containers; never hard-code them in repositories.,,0,Skill: Secret Management
90,DevOps Engineer,How do you manage infrastructure state and collaboration in Terraform?,Use remote backends (S3 + DynamoDB) for state locking; split configs into reusable modules; enforce policies with Sentinel; and gate plans via CI pull-request workflows.,,0,Skill: Terraform
91,HR Manager,How do you design an effective onboarding programme for new hires?,Create a structured 30-60-90 day plan covering culture; role expectations; tools; mentorship assignment; and regular check-ins to ensure fast integration and early engagement.,,0,Skill: Onboarding
92,HR Manager,How do you use people analytics to inform HR decisions?,Track metrics like turnover rate; time-to-fill; eNPS; and absenteeism; use dashboards to identify trends; and present data-backed recommendations to leadership.,,0,Skill: HR Analytics
93,HR Manager,What steps ensure the organisation remains compliant with labour law?,Conduct regular audits; maintain updated policy documents; train managers on legal obligations; partner with legal counsel; and subscribe to regulatory update services.,,0,Skill: Labour Law Compliance
94,HR Manager,How do you develop and enforce effective remote work policies?,Define eligibility; set expectations on availability and communication; provide stipends for home-office setup; establish security guidelines; and review policies quarterly.,,0,Skill: Remote Work Policies
95,HR Manager,What initiatives do you implement to support employee mental health?,Offer EAP (Employee Assistance Programs); implement flexible working arrangements; train managers to spot burnout signals; run wellbeing surveys; and destigmatise mental health conversations.,,0,Skill: Employee Wellbeing
96,Cybersecurity Specialist,Explain the Zero Trust security model and its core principles.,Zero Trust assumes no implicit trust; requiring continuous verification; least-privilege access; micro-segmentation; and strong identity management for all users; devices; and workloads.,,0,Skill: Zero Trust
97,Cybersecurity Specialist,How do you use a SIEM platform in a security operations centre?,Aggregate logs; correlate events using detection rules; trigger alerts for anomalies; investigate incidents; and use threat intelligence feeds to enrich and prioritise findings.,,0,Skill: SIEM
98,Cybersecurity Specialist,Walk me through two critical items from the OWASP Top 10 and remediation.,Injection (SQL/XSS): use parameterised queries and output encoding. Broken Access Control: enforce RBAC; validate permissions server-side; and audit access logs regularly.,,0,Skill: OWASP Top 10
99,Cybersecurity Specialist,Describe the phases of a formal incident response plan.,Preparation; Identification; Containment; Eradication; Recovery; and Lessons Learned. Each phase has defined roles; runbooks; and communication procedures to minimise damage.,,0,Skill: Incident Response
100,Cybersecurity Specialist,How do you mitigate supply-chain security risks in software development?,Pin dependency versions; scan with SCA tools (Dependabot; Snyk); verify package integrity via checksums; enforce code-signing; and review third-party vendor security posture.,,0,Skill: Supply Chain Security
101,Product Manager,How do you prioritize features in a product backlog?,"I use frameworks like RICE (Reach, Impact, Confidence, Effort) or MoSCoW (Must have, Should have, Could have, Won't have) to evaluate competing priorities. I cross-reference this with user feedback, business value, and technical constraints to build a balanced roadmap.",,0,Skill: Agile Methodology
102,Product Manager,How do you validate a product idea before building it?,"I conduct discovery interviews, run surveys, and create low-fidelity prototypes for usability testing. Landing page MVP tests or painted-door tests help gauge actual user intent and willingness to adopt before committing engineering resources.",,0,Skill: User Research
103,Product Manager,What key metrics indicate a successful SaaS product launch?,"I track adoption rate, Daily Active Users (DAU), feature usage depth, Customer Acquisition Cost (CAC) against Lifetime Value (LTV), and user retention at days 1/7/30. NPS and direct feedback also measure qualitative satisfaction.",,0,Skill: Metrics
104,Software Architect,How do you design a system to handle high availability and partition tolerance?,"According to the CAP theorem, achieving both requires accepting eventual consistency. I employ stateless services, horizontal scaling, multi-region database replication (like DynamoDB Global Tables), and robust load balancing with async message queues to buffer failures.",,0,Skill: System Design
105,Software Architect,How do you balance technical debt against delivering new features?,"Technical debt is like financial debt; some is useful for speed, but too much bankrupts velocity. I allocate a fixed capacity (e.g., 20%) of each sprint to refactoring and debt paydown, prioritizing debt that directly impacts current development speed or system stability.",,0,Skill: Technical Debt
106,Backend Engineer,Explain the CQRS pattern.,CQRS separates read and write operations into distinct models; allowing each side to be scaled; optimised; and secured independently.,,0,Skill: CQRS
107,Backend Engineer,Why is connection pooling important?,Connection pooling reduces latency and resource usage by reusing existing DB connections instead of opening a new connection per request.,,0,Skill: Connection Pooling
108,Backend Engineer,When would you use RabbitMQ or Kafka?,Use message queues for async communication; decoupling producers and consumers; and handling traffic spikes.,,0,Skill: Message Queues
109,Backend Engineer,Describe strategies to implement rate limiting.,Use token bucket or sliding window algorithms; storage in Redis; and return 429 Retry-After headers.,,0,Skill: Rate Limiting
110,Backend Engineer,What are the trade-offs of using many indexes?,Indexes speed up read queries but slow down write operations (INSERT/UPDATE) because the index must also be updated; they also occupy extra disk space.,,0,Skill: Database Indexing
111,Frontend Developer,How does the React Virtual DOM stay efficient?,React keeps a lightweight in-memory copy of the DOM; diffs it against the new render; and only applies the minimum real DOM updates.,,0,Skill: Virtual DOM
112,Frontend Developer,What are the POUR principles of WCAG?,Perceivable; Operable; Understandable; Robust—using semantic HTML; ARIA; keyboard nav; and high contrast.,,0,Skill: Web Accessibility
113,Frontend Developer,How does code splitting help performance?,It breaks JS bundles into smaller chunks loaded on demand; reducing initial load time and TTI.,,0,Skill: Code Splitting
114,Frontend Developer,What are the trade-offs of SSR?,SSR improves SEO and FMP at the cost of higher server load and complexity compared to CSR.,,0,Skill: SSR vs CSR
115,Frontend Developer,Why use TypeScript in Large Apps?,It adds static typing for early error detection; better IDE support; and safer refactoring across teams.,,0,Skill: TypeScript
116,Frontend Developer,When is Redux/Context necessary?,Use them for global state needed by distant components; avoiding 'prop drilling' in complex component trees.,,0,Skill: State Management
117,Mobile Developer,How do you minimize app launch time?,Reduce startup libraries; defer non-critical work; use lazy initialization; and compress assets.,,0,Skill: App Launch Time
118,Mobile Developer,Explain deep linking.,Deep links allow URLs or notifications to navigate users directly to specific screens inside the app.,,0,Skill: Deep Linking
119,Mobile Developer,Handling background tasks in iOS/Android?,Use BGTaskScheduler (iOS) or WorkManager (Android) to respect OS battery and resource constraints.,,0,Skill: Background Tasks
120,Mobile Developer,Describe the mobile distribution process.,Sign release builds with certificates/keystores and upload to Google Play or App Store for review.,,0,Skill: App Signing
121,Mobile Developer,Tracking production crashes?,Use Firebase Crashlytics or Sentry; analyze stack traces; and prioritize by impact/user base.,,0,Skill: Crash Analytics
122,Data Engineer,Describe a modern data orchestration tool.,Tools like Apache Airflow or Prefect manage complex DAGs; ensuring tasks run in sequence; handle retries; and provide visibility into pipeline health.,,0,Skill: ETL Pipelines
123,Data Engineer,What is Snowflake's architecture?,Snowflake uses a multi-cluster shared data architecture; separating storage (S3/Azure Blob) from compute (Virtual Warehouses) for independent scaling.,,0,Skill: Data Warehousing
124,Data Engineer,How do you handle 'data skew' in Apache Spark?,Use salting (adding random keys to distribute data); broadcast joins for small tables; or increasing partitions to balance the workload across executors.,,0,Skill: Spark Optimization
125,Data Engineer,Difference between Star and Snowflake schemas?,Star schemas have de-normalized dimension tables for query speed; Snowflake schemas are normalized for storage efficiency but require more joins.,,0,Skill: Data Modeling
126,Data Engineer,Kafka vs Pulsar for real-time data?,Kafka is the industry standard with high throughput; Pulsar offers native multi-tenancy and decoupled storage/compute tiers.,,0,Skill: Streaming
127,QA Engineer,When do you choose Selenium vs Playwright?,Selenium is mature with broad browser support; Playwright is modern; faster; more reliable (auto-waiting); and better for single-page apps.,,0,Skill: Automation
128,QA Engineer,Explain the testing pyramid concept.,The base is many unit tests (fast/cheap); followed by fewer integration tests; and a small cap of E2E/Manual tests at the top.,,0,Skill: Testing Pyramid
129,QA Engineer,What is regression testing?,Testing existing functionality after a code change to ensure that new updates haven't 'regressed' or broken previously working parts.,,0,Skill: Regression
130,QA Engineer,What makes a good bug report?,Clear title; steps to reproduce; expected vs actual results; environment info; and logs or screenshots.,,0,Skill: Bug Reports
131,QA Engineer,How does QA fit into a CI/CD pipeline?,Automated tests run on every PR/commit; blocking builds that fail quality checks to ensure continuous delivery safely.,,0,Skill: CI/CD
132,Product Manager,How do you use the RICE framework?,Evaluate by Reach; Impact; Confidence; and Effort (RICE) to derive a score for objective feature prioritization.,,0,Skill: Prioritization
133,Product Manager,How do you handle conflicting user feedback?,Synthesize data from multiple sources (analytics; interviews); look for patterns; and align with the product's core value proposition and North Star metric.,,0,Skill: User Discovery
134,Product Manager,Difference between Scrum and Kanban?,Scrum uses time-boxed Sprints; Kanban is flow-based with Work-In-Progress (WIP) limits; Scrum is better for predictability; Kanban for continuous support.,,0,Skill: Agile
135,Product Manager,How do you measure Product-Market Fit (PMF)?,The Sean Ellis survey (would 40%+ of users be 'very disappointed' without the product) and high retention/organic growth rates.,,0,Skill: Market Fit
136,Technical Lead,How do you persuade stakeholders to pay down tech debt?,Translate debt into business risks: slower feature delivery; higher production incidents; and developer burnout—showing ROI on remediation.,,0,Skill: Technical Debt
137,Technical Lead,How do you handle a low-performing engineer?,Identify root causes (knowledge gap; motivation; personal); set clear goals; provide frequent feedback; and offer pairing/learning resources.,,0,Skill: Mentorship
138,Software Architect,When is Microservices better than a Monolith?,When you have independent scaling needs; large across-functional teams; or need to use different tech stacks for specific services—accepting the trade-off of network latency and complexity.,,0,Skill: Microservices
139,Software Architect,Explain the CAP Theorem.,In a network partition; a system can only provide either Consistency or Availability; not both at the same time.,,0,Skill: Distributed Systems
140,Cybersecurity Specialist,Zero Trust model principles?,Never trust; always verify. Require identity validation for every access request; regardless of whether it's internal or external to the network.,,0,Skill: Zero Trust
141,SRE,The Three Pillars of Observability?,Metrics (counters/gauges); Logs (discrete events); and Traces (request path through services).,,0,Skill: Observability
142,SRE,Difference between SLO and SLA?,SLO (Service Level Objective) is the internal target; SLA (Service Level Agreement) is the external contract with financial penalties for failure.,,0,Skill: SLO/SLA
143,BI Analyst,Can you walk me through a challenging data visualization project you worked on and how you approached it?,"In a previous role, I was tasked with creating a dashboard to track sales performance across different regions. I started by understanding the key metrics stakeholders needed to see and then designed the dashboard layout accordingly. I utilized tools like Tableau to create interactive visualizations that allowed users to drill down into specific data points. I also ensured the dashboard was user-friendly and provided clear insights at a glance.",,0,Skill: Data Visualization
144,BI Analyst,How do you stay updated with the latest trends and technologies in the Business Intelligence field? Can you provide an example of how you implemented a new technology in a project?,"I regularly attend industry conferences, webinars, and read relevant publications to stay abreast of the latest BI trends. In a recent project, I implemented a new data visualization tool that was gaining traction in the market. I conducted a pilot project to assess its capabilities and demonstrated its value through improved data insights and visualization capabilities.",,0,Skill: Technology Adoption
145,BI Analyst,Describe a situation where you had to collaborate with cross-functional teams to gather requirements for a BI project. How did you ensure alignment and communication?,"In a previous project, I collaborated with the sales, marketing, and finance teams to gather requirements for a BI dashboard. I scheduled regular meetings to align on key metrics and KPIs, ensuring everyone's input was considered. I maintained open communication channels through regular updates and feedback sessions to ensure the final deliverable met the needs of all stakeholders.",,0,Skill: Cross-functional Collaboration
146,BI Analyst,How do you approach data cleansing and preparation to ensure high-quality data for analysis?,"I begin by assessing the data quality issues such as missing values, duplicates, and outliers. I use tools like Python and SQL to clean and transform the data, ensuring consistency and accuracy. I also implement data validation checks to identify any anomalies early in the process and maintain detailed documentation of the cleansing steps for transparency.",,0,Skill: Data Cleansing
147,BI Analyst,Can you discuss a time when you had to identify key business insights from a large dataset? How did you prioritize and present these insights to stakeholders?,"In a project analyzing customer behavior, I identified key patterns in the data that highlighted opportunities for targeted marketing campaigns. I prioritized these insights based on their potential impact on business goals and presented them in a clear and concise manner using visualizations and storytelling techniques to engage stakeholders effectively.",,0,Skill: Data Analysis
